solver,length_m,rho_ohm_m,frequency_hz,z_real_ohm,z_imag_ohm,z_magnitude_ohm,z_phase_deg
mHEM,10,30,1.2589254117941662e+04,4.1321769884556163e+00,2.5113933696046037e-01,4.1398016414426264e+00,3.4779600143115923e+00
mHEM,10,30,1.2956866975170189e+04,4.1308332690724061e+00,2.6098722136141411e-01,4.1390696812918444e+00,3.6151584950804394e+00
mHEM,10,30,1.3335214321633241e+04,4.1295221956205204e+00,2.7114664777632985e-01,4.1384144389757367e+00,3.7566791517821225e+00
mHEM,10,30,1.3724609610075626e+04,4.1282468640348515e+00,2.8162636004494140e-01,4.1378418985125265e+00,3.9026347861288748e+00
mHEM,10,30,1.4125375446227554e+04,4.1270105456954909e+00,2.9243530969425485e-01,4.1373583908863596e+00,4.0531397561288358e+00
mHEM,10,30,1.4537843856076606e+04,4.1258166962216132e+00,3.0358265851201965e-01,4.1369706116154914e+00,4.2083098702169766e+00
mHEM,10,30,1.4962356560944329e+04,4.1246689646875696e+00,3.1507778108921985e-01,4.1366856390585127e+00,4.3682622685756938e+00
mHEM,10,30,1.5399265260594921e+04,4.1235712032239507e+00,3.2693026700703781e-01,4.1365109533933442e+00,4.5331152863465007e+00
mHEM,10,30,1.5848931924611141e+04,4.1225274770724161e+00,3.3914992299866453e-01,4.1364544563535404e+00,4.7029883023415868e+00
mHEM,10,30,1.6311729092278396e+04,4.1215420750642169e+00,3.5174677475994348e-01,4.1365244916570569e+00,4.8780015678644641e+00
mHEM,10,30,1.6788040181225588e+04,4.1206195205604645e+00,3.6473106854243093e-01,4.1367298661604748e+00,5.0582760164999749e+00
mHEM,10,30,1.7278259805078626e+04,4.1197645828710936e+00,3.7811327255340133e-01,4.1370798717404620e+00,5.2439330542204532e+00
mHEM,10,30,1.7782794100389227e+04,4.1189822891430454e+00,3.9190407786311160e-01,4.1375843078443513e+00,5.4350943246974550e+00
mHEM,10,30,1.8302061063110566e+04,4.1182779367588109e+00,4.0611439915757702e-01,4.1382535047526421e+00,5.6318814534395569e+00
mHEM,10,30,1.8836490894898019e+04,4.1176571062520075e+00,4.2075537507035277e-01,4.1390983475049552e+00,5.8344157660660594e+00
mHEM,10,30,1.9386526359522057e+04,4.1171256747180323e+00,4.3583836796377728e-01,4.1401303004146790e+00,6.0428179779742592e+00
mHEM,10,30,1.9952623149688789e+04,4.1166898298016381e+00,4.5137496347164102e-01,4.1413614322395560e+00,6.2572078586153390e+00
mHEM,10,30,2.0535250264571459e+04,4.1163560842039422e+00,4.6737696939199402e-01,4.1428044418582992e+00,6.4777038638522981e+00
mHEM,10,30,2.1134890398366475e+04,4.1161312907568863e+00,4.8385641413209790e-01,4.1444726844611637e+00,6.7044227382307824e+00
mHEM,10,30,2.1752040340195246e+04,4.1160226580617048e+00,5.0082554450020211e-01,4.1463801981609532e+00,6.9374790835253837e+00
mHEM,10,30,2.2387211385683378e+04,4.1160377667080370e+00,5.1829682292782475e-01,4.1485417309729407e+00,7.1769848939608556e+00
mHEM,10,30,2.3040929760558447e+04,4.1161845860660868e+00,5.3628292392403787e-01,4.1509727680461310e+00,7.4230490547858965e+00
mHEM,10,30,2.3713737056616552e+04,4.1164714916653109e+00,5.5479672987816764e-01,4.1536895590759713e+00,7.6757768053096616e+00
mHEM,10,30,2.4406190680419812e+04,4.1169072831636289e+00,5.7385132596584132e-01,4.1567091457640482e+00,7.9352691627413314e+00
mHEM,10,30,2.5118864315095823e+04,4.1175012028904652e+00,5.9345999420914974e-01,4.1600493891937331e+00,8.2016223074785959e+00
mHEM,10,30,2.5852348395621888e+04,4.1182629549824545e+00,6.1363620664083174e-01,4.1637289970027309e+00,8.4749269292827911e+00
mHEM,10,30,2.6607250597988084e+04,4.1192027250831602e+00,6.3439361735360766e-01,4.1677675501485840e+00,8.7552675318543418e+00
